This list contains all games supported by FB Alpha Plus!.

698 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| bbkradu	|  	| Battle Bakraid (ver. Tue Jun 8 1999)			| bbakraid	| 1999	| Eighting	| Toaplan GP9001| Unlimited version			|
| bbakraid	|  	| Battle Bakraid (ver. Wed Apr 7 1999)			| 		| 1999	| Eighting	| Toaplan GP9001| 					|
| batcira	|   NW	| Battle Circuit (970319 Asia)				| batcir	| 1997	| Capcom	| CPS2		| Encrypted				|
| batcir	|  	| Battle Circuit (970319 Euro)				| 		| 1997	| Capcom	| CPS2		| 					|
| batcirj	|  	| Battle Circuit (970319 Japan)				| batcir	| 1997	| Capcom	| CPS2		| 					|
| flipshot	|  	| Battle Flip Shot					| 		| 1998	| Visco		| Neo Geo	| 					|
| battlega	|  	| Battle Garegga (ver. Sat Feb 3 1996)			| battleg	| 1996	| Raizing / 8ing| Toaplan GP9001| 					|
| battlegc	|  	| Battle Garegga (ver. Sat Feb 3 1996)			| battleg	| 1996	| Raizing / 8ing| Toaplan GP9001| Austria/Hong Kong region only		|
| battlegb	|  	| Battle Garegga (ver. Sat Mar 2 1996)			| battleg	| 1996	| Raizing / 8ing| Toaplan GP9001| New version (Austria/Hong Kong region |
| battleg	|  	| Battle Garegga (ver. Tue Apr 2 1996)			| 		| 1996	| Raizing / 8ing| Toaplan GP9001| Type 2 (China/Denmark region only, rou|
| btlkroad	|  	| Battle K-Road						| 		| 1994	| Psikyo	| Psikyo 68EC020| 					|
| blazstar	|  	| Blazing Star						| 		| 1998	| Yumekobo	| Neo Geo	| 					|
| bjourney	|  	| Blue's Journey\0Raguy					| 		| 1990	| Alpha Denshi C| Neo Geo	| 					|
| bombjack	|  	| Bomb Jack (set 1)					| 		| 1984	| Tehkan	| Bomb Jack Hard| 					|
| bombjac2	|  	| Bomb Jack (set 2)					| bombjack	| 1984	| Tehkan	| Bomb Jack Hard| 					|
| breakers	|  	| Breakers						| 		| 1996	| Visco		| Neo Geo	| 					|
| breakrev	|  	| Breakers Revenge					| breakers	| 1998	| Visco		| Neo Geo	| 					|
| burningf	|  	| Burning Fight (set 1)					| 		| 1991	| SNK		| Neo Geo	| 					|
| burningh	|  	| Burning Fight (set 2)					| burningf	| 1991	| SNK		| Neo Geo	| AES version				|
| dinou		|  	| Cadillacs & Dinosaurs (930201 US)			| dino		| 1993	| Capcom	| CPS1 / QSound	| 					|
| dino		|  	| Cadillacs & Dinosaurs (930201 World)			| 		| 1993	| Capcom	| CPS1 / QSound	| 					|
| dinoh		|   NW	| Cadillacs and Dinosaurs (Hack set 1)			| dino		| 1993	| Capcom	| CPS1 / QSound	| 					|
| kl2d		|   NW	| Cadillacs and Dinosaurs (Hack set 2)			| dino		| 1993	| Capcom	| CPS1		| Missing GFX, No Sound			|
| dinoj		|  	| Cadillacs Kyouryuu-Shinseiki (930201 Japan)		| dino		| 1993	| Capcom	| CPS1, QSound	| 					|
| cscluba	|  	| Capcom Sports Club (970722 Asia)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| csclub	|  	| Capcom Sports Club (970722 Euro)			| 		| 1997	| Capcom	| CPS2		| 					|
| csclubh	|   NW	| Capcom Sports Club (970722 Hispanic)			| csclub	| 1997	| Capcom	| CPS2		| Encrypted				|
| csclubj	|  	| Capcom Sports Club (970722 Japan)			| csclub	| 1997	| Capcom	| CPS2		| 					|
| cworld2j	|  	| Capcom World 2 (920611 Japan)				| 		| 1992	| Capcom	| CPS1		| 					|
| captcomu	|  	| Captain Commando (910928 USA)				| captcomm	| 1991	| Capcom	| CPS1		| 					|
| captcomm	|  	| Captain Commando (911014 World)			| 		| 1991	| Capcom	| CPS1		| 					|
| captcomj	|  	| Captain Commando (911202 Japan)			| captcomm	| 1991	| Capcom	| CPS1		| 					|
| ctomaday	|  	| Captain Tomaday					| 		| 1999	| Visco		| Neo Geo	| 					|
| cawingu	|  	| Carrier Air Wing (901012 US)				| cawing	| 1990	| Capcom	| CPS1		| 					|
| cawing	|  	| Carrier Air Wing (901012 World)			| 		| 1990	| Capcom	| CPS1		| 					|
| marukodq	|  	| Chibi Marukochan Deluxe Quiz				| 		| 1995	| Takara	| Neo Geo	| 					|
| chikij	|  	| Chiki Chiki Boys (900619 Japan)			| mtwins	| 1990	| Capcom	| CPS1		| 					|
| cnbe		|  	| Codename - Blut Engel (2006-01-19)			| 		| 2006	| blastar@gmx.ne| Neo Geo	| 					|
| columnsn	|  	| Columns						| puzzledp	| 2004	| Jeff Kurtz	| Neo Geo	| 					|
| crsword	|  	| Crossed Swords					| 		| 1991	| Alpha Denshi C| Neo Geo	| 					|
| cthd2003	|  	| Crouching Tiger Hidden Dragon 2003 (set 1)		| 		| 2003	| Phenixsoft	| Neo Geo	| Hack of \"The King of Fighters 2001\"	|
| cthd2k3a	|  	| Crouching Tiger Hidden Dragon 2003 (set 2)		| cthd2003	| 2003	| Phenixsoft	| Neo Geo	| Alternate hack of \"The King of Fighte|
| ct2k3sp	|  	| Crouching Tiger Hidden Dragon 2003 Super Plus		| cthd2003	| 2003	| Phenixsoft	| Neo Geo	| Hack of \"Crouching Tiger Hidden Drago|
| cyberlip	|  	| Cyber-Lip						| 		| 1990	| SNK		| Neo Geo	| 					|
| cybotsj	|  	| Cyberbots - fullmetal madness (950420 Japan)		| cybots	| 1995	| Capcom	| CPS2		| 					|
| cybotsu	|  	| Cyberbots - fullmetal madness (950424 US)		| cybots	| 1995	| Capcom	| CPS2		| 					|
| daimakai	|  	| Dai Makai-Mura (Japan)				| ghouls	| 1988	| Capcom	| CPS1		| Japan region				|
| daisenpu	|  	| Daisenpu (Japan)					| twinhawk	| 1989	| Taito America | Taito X System| 					|
| dfeveron	|  	| Dangun Feveron (ver. Thu Sep 17 1998)			| feversos	| 1998	| Cave / Nihon S| Cave		| Japan region				|
| dstlka	|  	| Darkstalkers - the night warriors (940705 Asia)	| dstlk		| 1994	| Capcom	| CPS2		| 					|
| dstlk		|  	| Darkstalkers - the night warriors (940705 Euro)	| 		| 1994	| Capcom	| CPS2		| 					|
| dstlkur1	|  	| Darkstalkers - the night warriors (940705 USA)	| dstlk		| 1994	| Capcom	| CPS2		| 					|
| dstlku	|  	| Darkstalkers - the night warriors (940818 USA)	| dstlk		| 1994	| Capcom	| CPS2		| 					|
| diggerma	|  	| Digger Man						| 		| 1994 / 2000| Face		| Neo Geo	| 					|
| dimahoo	|  	| Dimahoo (000121 USA)					| 		| 2000	| 8ing / Raizing| CPS2		| 					|
| ddonpach	|  	| DoDonPachi (1997 2/5 master ver, international)	| 		| 1997	| Atlus / Cave	| Cave		| 					|
| ddonpchj	|  	| DoDonPachi (1997 2/5 master ver, Japan)		| ddonpach	| 1997	| Atlus / Cave	| Cave		| 					|
| dogyuun	|  	| Dogyuun						| 		| 1992	| Toaplan	| Dual Toaplan G| No sound (sound MCU not dumped)	|
| donpachj	|  	| Donpachi (ver. 1.01 1995/05/11, Japan)		| donpachi	| 1995	| Atlus / Cave	| Cave		| 					|
| donpachi	|  	| DonPachi (ver. 1.01 1995/05/11, U.S.A)		| 		| 1995	| Atlus / Cave	| Cave		| 					|
| donpachk	|  	| Donpachi (ver. 1.12 1995/05/2x, Korea)		| donpachi	| 1995	| Atlus / Cave	| Cave		| 					|
| doubledr	|  	| Double Dragon						| 		| 1995	| Technos	| Neo Geo	| 					|
| ddsomjr1	|  	| Dungeons & Dragons - shadow over mystara (960206 Japan| ddsom		| 1996	| Capcom	| CPS2		| 					|
| Ddsomr2	|  	| Dungeons & Dragons - shadow over mystara (960209 Euro)| ddsom		| 1996	| Capcom	| CPS2		| 					|
| ddsomur1	|  	| Dungeons & Dragons - shadow over mystara (960209 USA)	| ddsom		| 1996	| Capcom	| CPS2		| 					|
| ddsoma	|  	| Dungeons & Dragons - shadow over mystara (960619 Asia)| ddsom		| 1996	| Capcom	| CPS2		| 					|
| ddsom		|  	| Dungeons & Dragons - shadow over mystara (960619 Euro)| 		| 1996	| Capcom	| CPS2		| 					|
| ddsomj	|  	| Dungeons & Dragons - shadow over mystara (960619 Japan| ddsom		| 1996	| Capcom	| CPS2		| 					|
| ddsomu	|  	| Dungeons & Dragons - shadow over mystara (960619 USA)	| ddsom		| 1996	| Capcom	| CPS2		| 					|
| ddtoda	|   NW	| Dungeons & Dragons - tower of doom (940113 Asia)	| ddtod		| 1994	| Capcom	| CPS2		| Encrypted				|
| ddtodjr1	|  	| Dungeons & Dragons - tower of doom (940113 Japan)	| ddtod		| 1994	| Capcom	| CPS2		| 					|
| ddtodur1	|  	| Dungeons & Dragons - tower of doom (940113 USA)	| ddtod		| 1994	| Capcom	| CPS2		| 					|
| ddtodh	|  	| Dungeons & Dragons - tower of doom (940125 Hispanic)	| ddtod		| 1994	| Capcom	| CPS2		| 					|
| ddtodj	|  	| Dungeons & Dragons - tower of doom (940125 Japan)	| ddtod		| 1994	| Capcom	| CPS2		| 					|
| ddtodu	|  	| Dungeons & Dragons - tower of doom (940125 USA)	| ddtod		| 1994	| Capcom	| CPS2		| 					|
| ddtod		|  	| Dungeons & Dragons - tower of doom (940412 Euro)	| 		| 1994	| Capcom	| CPS2		| 					|
| dynwar	|  	| Dynasty Wars (World)					| 		| 1989	| Capcom	| CPS1		| 					|
| ecofghta	|   NW	| Eco Fighters (931203 Asia)				| ecofghtr	| 1993	| Capcom	| CPS2		| Encrypted				|
| ecofghtr	|  	| Eco Fighters (931203 World)				| 		| 1993	| Capcom	| CPS2		| 					|
| eightman	|  	| Eight Man						| 		| 1991	| SNK / Pallas	| Neo Geo	| 					|
| espradeo	|  	| ESP Ra.De. (1998 4/14 master ver.)			| esprade	| 1998	| Atlus / Cave	| Cave		| Japan region				|
| espradej	|  	| ESP Ra.De. (1998 4/21 master ver.)			| esprade	| 1998	| Atlus / Cave	| Cave		| Japan region				|
| esprade	|  	| ESP Ra.De. (1998 4/22 international ver.)		| 		| 1998	| Atlus / Cave	| Cave		| 					|
| fatfury1	|  	| Fatal Fury - king of fighters\0Garou Denetsu - shukume| 		| 1992	| SNK		| Neo Geo	| 					|
| fatfury2	|  	| Fatal Fury 2\0Garou Densetsu 2 - arata-naru tatakai	| 		| 1992	| SNK		| Neo Geo	| 					|
| fatfury3	|  	| Fatal Fury 3 - road to the final victory\0Garou Denset| 		| 1995	| SNK		| Neo Geo	| 					|
| fatfursp	|  	| Fatal Fury Special\0Garou Densetsu Special (set 1)	| 		| 1993	| SNK		| Neo Geo	| 					|
| fatfursa	|  	| Fatal Fury Special\0Garou Densetsu Special (set 2)	| fatfursp	| 1993	| SNK		| Neo Geo	| Alternate version			|
| feversos	|  	| Fever SOS (ver. Fri Sep 25 1998)			| 		| 1998	| Cave / Nihon S| Cave		| 					|
| fightfev	|  	| Fight Fever\0Wang Jung Wang (set 1)			| 		| 1994	| Viccom	| Neo Geo	| 					|
| fightfva	|  	| Fight Fever\0Wang Jung Wang (set 2)			| fightfev	| 1994	| Viccom	| Neo Geo	| Alternate version			|
| fswords	|  	| Fighting Swords					| samsho3	| 1995	| SNK		| Neo Geo	| Korean version of \"Samurai Shodown II|
| ffightu	|  	| Final Fight (900112 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj1	|  	| Final Fight (900305 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj	|  	| Final Fight (Japan)					| ffight	| 1989	| Capcom	| CPS1		| Japan region, alternate version	|
| ffight	|  	| Final Fight (World)					| 		| 1989	| Capcom	| CPS1		| 					|
| fstarfrc	|  	| Final Star Force (US)					| 		| 1992	| Tecmo		| Miscellaneous	| 					|
| fbfrenzy	|  	| Football Frenzy					| 		| 1992	| SNK		| Neo Geo	| 					|
| forgottn	|  	| Forgotten Worlds (USA)				| 		| 1988	| Capcom	| CPS1		| US region				|
| frogfest	|  	| Frog Feast						| puzzledp	| 2005	| Rastersoft / C| Neo Geo	| 					|
| gaia		|  	| Gaia Crusaders					| 		| 1999	| Noise Factory	| Cave		| 					|
| galaxyfg	|  	| Galaxy Fight - universal warriors			| 		| 1995	| Sunsoft	| Neo Geo	| 					|
| ganryu	|  	| Ganryu\0Musashi Ganryuki				| 		| 1999	| Visco		| Neo Geo	| 					|
| ganryun	|  	| Ganryu\0Musashi Ganryuki (decrypted C)		| ganryu	| 1999	| Visco		| Neo Geo	| decrypted C-ROMs			|
| garoun	|  	| Garou - mark of the wolves (decrypted C)		| garou		| 1999	| SNK		| Neo Geo	| decrypted C-ROMs			|
| garoup	|  	| Garou - mark of the wolves (prototype)		| garou		| 1999	| SNK		| Neo Geo	| 					|
| garou		|  	| Garou - mark of the wolves (set 1)			| 		| 1999	| SNK		| Neo Geo	| 					|
| garouo	|  	| Garou - mark of the wolves (set 2)			| garou		| 1999	| SNK		| Neo Geo	| Alternate version			|
| gensitou	|  	| Genshi-Tou 1930's					| prehisle	| 1989	| SNK		| Prehistoric Is| Incomplete Sound			|
| gpilots	|  	| Ghost Pilots						| 		| 1991	| SNK		| Neo Geo	| 					|
| ghostlop	|  	| Ghostlop (prototype)					| 		| 1994	| Data East Corp| Neo Geo	| 					|
| ghoulsu	|  	| Ghouls'n Ghosts (US)					| ghouls	| 1988	| Capcom	| CPS1		| US region				|
| ghouls	|  	| Ghouls'n Ghosts (World)				| 		| 1988	| Capcom	| CPS1		| 					|
| gigawing	|  	| Giga Wing (990222 USA)				| 		| 1999	| Capcom	| CPS2		| 					|
| gwingj	|  	| Giga Wing (990223 Japan)				| gigawing	| 1999	| Capcom	| CPS2		| 					|
| goalx3	|  	| Goal! Goal! Goal!					| 		| 1995	| Visco		| Neo Geo	| 					|
| gmahou	|  	| Great Mahou Daisakusen (000121 Japan)			| dimahoo	| 2000	| 8ing / Raizing| CPS2		| 					|
| grindstm	|  	| Grind Stormer (set 1)					| vfive		| 1992	| Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| grindsta	|  	| Grind Stormer (set 2)					| vfive		| 1992	| Toaplan GP9001| Toaplan	| Alternate version, no sound (sound MCU|
| getstarb	|  	| Guardian (bootleg)					| getstar	| 1986	| Taito / Toapla| Early Toaplan	| 					|
| gunbird	|  	| Gunbird						| 		| 1994	| Psikyo	| Psikyo 68EC020| 					|
| gunbirdj	|  	| Gunbird (Japan)					| gunbird	| 1994	| Psikyo	| Psikyo 68EC020| Japan region				|
| gunbirdk	|  	| Gunbird (Korea)					| gunbird	| 1994	| Psikyo	| Psikyo 68EC020| Korea region				|
| gururin	|  	| Gururin						| 		| 1994	| Face		| Neo Geo	| 					|
| guwange	|  	| Guwange (1999 6/24 master ver.)			| 		| 1999	| Atlus / Cave	| Cave		| Japan region				|
| wofsj		|  	| Holy Sword Three Kingdoms (Hack, set 1)		| wof		| 1992	| Capcom	| CPS1 / QSound	| No Sound				|
| wofsja	|  	| Holy Sword Three Kingdoms (Hack, set 2)		| wof		| 1992	| Capcom	| CPS1 / QSound	| No Sound				|
| wofsjb	|   NW	| Holy Sword Three Kingdoms (Hack, set 3)		| wof		| 1992	| Capcom	| CPS1 / QSound	| 					|
| hyperpac	|  	| Hyper Pacman						| 		| 1995	| SemiCom	| Kaneko Pandora| 					|
| hyperpcb	|  	| Hyper Pacman (bootleg)				| hyperpac	| 1995	| SemiCom	| Kaneko Pandora| Alternate version			|
| hsf2j		|   NW	| Hyper Street Fighter II - the anniversary edition (031| hsf2a		| 2003	| Capcom	| CPS2		| No XOR				|
| hsf2a		|   NW	| Hyper Street Fighter II - the anniversary edition (040| 		| 2004	| Capcom	| CPS2		| No XOR				|
| jockeygp	|  	| Jockey Grand Prix					| 		| 2001	| Sun Amusement | Neo Geo	| 					|
| ltorb1	|  	| Jonas Indiana and the Lost Temple of RA (beta 2005-07-| 		| 2005	| blastar@gmx.ne| Neo Geo	| 					|
| janshin	|  	| Jyanshin Densetsu - quest of jongmaster		| 		| 1994	| Aicom		| Neo Geo	| 					|
| kabukikl	|  	| Kabuki Klash - far east of eden\0tengai makyou - Shind| 		| 1995	| Hudson Soft	| Neo Geo	| 					|
| karnovr	|  	| Karnov's Revenge\0Fighter's History Dynamite		| 		| 1994	| Data East Corp| Neo Geo	| 					|
| kog		|  	| King of Gladiator					| kof97		| 2005	| SNK		| Neo Geo	| Hack of \"The King of Fighters '97\", |
| kotm		|  	| King of the Monsters (set 1)				| 		| 1991	| SNK		| Neo Geo	| 					|
| kotmh		|  	| King of the Monsters (set 2)				| kotm		| 1991	| SNK		| Neo Geo	| AES version				|
| kotm2		|  	| King of the Monsters 2 - the next thing		| 		| 1992	| SNK		| Neo Geo	| 					|
| kingdmgp	|  	| Kingdom Grandprix					| shippumd	| 1994	| Raizing / 8ing| Toaplan GP9001| 					|
| kizuna	|  	| Kizuna Encounter - super tag battle\0Fu'un Super Tag B| savagere	| 1996	| SNK		| Neo Geo	| 					|
| knightsj	|  	| Knights of the Round (911127 Japan)			| knights	| 1991	| Capcom	| CPS1		| 					|
| knightsu	|  	| Knights of the Round (911127 USA)			| knights	| 1991	| Capcom	| CPS1		| 					|
| knights	|  	| Knights of the Round (911127 World)			| 		| 1991	| Capcom	| CPS1		| 					|
| knightsb	|   NW	| Knights of the Round (bootleg)			| knights	| 1991	| Capcom	| CPS1		| Bad GFX				|
| knightsh	|  	| Knights of the Round (Hack)				| knights	| 1991	| Capcom	| CPS1		| 					|
| kbash		|  	| Knuckle Bash						| 		| 1993	| Toaplan	| Toaplan GP9001| No sound (sound MCU not emulated)	|
| lans2004	|  	| Lansquenet 2004					| shocktr2	| 2004	| Saurus	| Neo Geo	| Hack of \"Shock Troopers 2\"		|
| lresort	|  	| Last Resort						| 		| 1992	| SNK		| Neo Geo	| 					|
| lbowling	|  	| League Bowling					| 		| 1990	| SNK		| Neo Geo	| 					|
| legendos	|  	| Legend of Success Joe\0Ashitano Joe Densetsu		| 		| 1991	| SNK		| Neo Geo	| 					|
| wofh		|  	| Legend of Three Kingdoms' Heroes (Hack, set 1)	| wof		| 1992	| Capcom	| CPS1		| No Sound				|
| wofha		|  	| Legend of Three Kingdoms' Heroes (Hack, set 2)	| wof		| 1992	| Capcom	| CPS1		| No Sound				|
| lostwrld	|  	| Lost Worlds (Japan)					| forgottn	| 1988	| Capcom	| CPS1		| Japan region				|
| mswordj	|  	| Magic Sword (900623 Japan)				| msword	| 1990	| Capcom	| CPS1		| 					|
| mswordr1	|  	| Magic Sword - heroic fantasy (900623 World)		| msword	| 1990	| Capcom	| CPS1		| 					|
| mswordu	|  	| Magic Sword - heroic fantasy (900725 USA)		| msword	| 1990	| Capcom	| CPS1		| 					|
| msword	|  	| Magic Sword - heroic fantasy (900725 World)		| 		| 1990	| Capcom	| CPS1		| 					|
| magdrop2	|  	| Magical Drop II					| 		| 1996	| Data East Corp| Neo Geo	| 					|
| magdrop3	|  	| Magical Drop III					| 		| 1997	| Data East Corp| Neo Geo	| 					|
| maglord	|  	| Magician Lord (set 1)					| 		| 1990	| Alpha Denshi C| Neo Geo	| 					|
| maglordh	|  	| Magician Lord (set 2)					| maglord	| 1990	| Alpha Denshi C| Neo Geo	| AES version				|
| fr2ch		|  	| Mahjong Final Romance 2				| 		| 1995	| Video Systems	| Neo Geo	| Hacked Neo CD convertion		|
| mahretsu	|  	| Mahjong Kyoretsuden - real mah-jong game		| 		| 1990	| SNK		| Neo Geo	| 					|
| mahoudai	|  	| Mahou Daisakusen					| 		| 1993	| Raizing	| Toaplan GP9001| Japan region				|
| mmatrixj	|  	| Mars Matrix (000412 Japan)				| mmatrix	| 2000	| Capcom / Takum| CPS2		| 					|
| mmatrix	|  	| Mars Matrix (000412 USA)				| 		| 2000	| Capcom / Takum| CPS2		| 					|
| msha		|  	| Marvel Super Heroes (951024 Asia)			| msh		| 1995	| Capcom	| CPS2		| 					|
| mshjr1	|  	| Marvel Super Heroes (951024 Japan)			| msh		| 1995	| Capcom	| CPS2		| 					|
| mshu		|  	| Marvel Super Heroes (951024 USA)			| msh		| 1995	| Capcom	| CPS2		| 					|
| mshb		|   NW	| Marvel Super Heroes (951117 Brazil)			| msh		| 1995	| Capcom	| CPS2		| Encrypted				|
| mshh		|  	| Marvel Super Heroes (951117 Hispanic)			| msh		| 1995	| Capcom	| CPS2		| 					|
| mshj		|   NW	| Marvel Super Heroes (951117 Japan)			| msh		| 1995	| Capcom	| CPS2		| 					|
| mshvsfa1	|   NW	| Marvel Super Heroes vs Street Fighter (970620 Asia)	| mshvsf	| 1997	| Capcom	| CPS2		| Encrypted				|
| mshvsfa	|   NW	| Marvel Super Heroes vs Street Fighter (970625 Asia)	| mshvsf	| 1997	| Capcom	| CPS2		| Encrypted				|
| mshvsfb1	|   NW	| Marvel Super Heroes vs Street Fighter (970625 Brazil)	| mshvsf	| 1997	| Capcom	| CPS2		| Encrypted				|
| mshvsfh	|   NW	| Marvel Super Heroes vs Street Fighter (970625 Hispanic| mshvsf	| 1997	| Capcom	| CPS2		| Encrypted				|
| mshvsfj2	|   NW	| Marvel Super Heroes vs Street Fighter (970625 Japan)	| mshvsf	| 1997	| Capcom	| CPS2		| Encrypted				|
| mshvsfu1	|  	| Marvel Super Heroes vs Street Fighter (970625 USA)	| mshvsf	| 1997	| Capcom	| CPS2		| 					|
| mshvsfj1	|  	| Marvel Super Heroes vs Street Fighter (970702 Japan)	| mshvsf	| 1997	| Capcom	| CPS2		| 					|
